1.0,1.0,15
1.0,1.0,9
1.0,1.0,9
0.5,0.5,9
0.0,0.0,10
1.0,1.0,16
1.0,1.0,16
0.5,0.5,14
0.0,0.0,54
1.0,1.0,59
0.5,0.5,59
0.0,0.0,59
1.0,1.0,0
1.0,1.0,9
1.0,1.0,8
1.0,1.0,8
1.0,1.0,9
1.0,1.0,9
0.5,0.5,9
0.0,0.0,10
1.0,1.0,16
1.0,1.0,16
0.5,0.5,14
0.0,0.0,54
1.0,1.0,59
0.5,0.5,59
0.0,0.0,59
0.5,0.5,1
0.0,0.0,8
0.5,0.5,0
0.5,0.5,0
1.0,1.0,14
1.0,1.0,15
1.0,1.0,0
1.0,1.0,0
0.5,0.5,0
0.0,0.0,0
1.0,1.0,59
0.5,0.5,59
0.0,0.0,59
0.5,0.5,1
0.0,0.0,8
1.0,1.0,7
1.0,1.0,28
0.5,0.5,351
0.5,0.5,339
0.5,0.5,351
0.5,0.5,339
0.5,0.5,351
0.5,0.5,339
0.0,0.0,7
0.0,0.0,0
1.0,1.0,0
0.0,0.0,0
1.0,1.0,0
1.0,1.0,0
0.5,0.5,0
1.0,1.0,14
1.0,1.0,14
0.5,0.5,14
0.0,0.0,44
0.0,0.0,0
0.5,0.5,0
0.0,0.0,0
1.0,1.0,0
1.0,1.0,9
1.0,1.0,8
1.0,1.0,8
1.0,1.0,44
1.0,0.5,44
1.0,1.0,44
1.0,1.0,7
0.0,0.0,8
1.0,1.0,7
1.0,1.0,28
0.5,0.5,351
0.5,0.5,339
0.0,0.0,44
1.0,1.0,15
0.5,0.5,29
0.5,0.5,15
0.5,0.5,51
0.5,0.5,14
0.5,0.5,14
0.5,0.5,7
0.0,0.0,8
1.0,1.0,15
0.5,1.0,15
0.0,0.0,15
1.0,1.0,7
1.0,1.0,7
0.5,0.5,7
0.0,0.0,22
1.0,1.0,15
0.5,0.5,0
0.0,0.0,0
0.5,0.5,0
0.0,0.0,9
0.0,0.0,0
0.5,0.5,0
0.5,0.5,0
0.0,0.0,0
0.0,0.0,7
0.0,0.0,0
0.0,0.0,0
0.5,0.5,0
0.0,0.0,0
1.0,1.0,29
1.0,1.0,29
1.0,1.0,29
0.0,0.0,52
1.0,1.0,22
1.0,1.0,22
0.5,0.5,22
0.0,0.0,64
0.5,0.5,3
0.0,0.0,2
0.0,0.0,0
0.0,0.0,0
0.0,0.0,44
0.0,0.0,14
1.0,1.0,7
1.0,1.0,23
1.0,1.0,7
1.0,1.0,7
0.0,0.0,44
0.0,0.0,14
1.0,1.0,7
1.0,1.0,7
1.0,1.0,7
1.0,1.0,7
1.0,1.0,21
1.0,1.0,14
1.0,1.0,14
1.0,1.0,7
1.0,1.0,7
0.5,0.5,7
0.0,0.0,8
1.0,1.0,16
1.0,1.0,16
0.5,0.5,16
0.5,0.5,17
0.0,0.0,7
0.0,0.0,0
1.0,1.0,0
1.0,1.0,0
0.5,0.5,9
0.0,0.0,9
0.0,0.0,0
0.5,0.5,0
0.5,0.5,0
0.0,0.0,0
0.5,0.5,351
0.5,0.5,339
1.0,1.0,7
0.5,0.5,7
0.0,0.0,7
1.0,1.0,35
1.0,1.0,48
0.5,0.5,45
0.0,0.0,80
1.0,1.0,75
0.5,0.5,74
0.0,0.0,74
1.0,1.0,10
1.0,1.0,10
0.5,0.5,10
0.0,0.0,29
1.0,1.0,16
1.0,1.0,16
0.5,0.5,14
0.0,0.0,54
1.0,1.0,59
0.5,0.5,59
0.0,0.0,59
0.5,0.5,19
0.0,0.0,39
0.5,0.5,39
0.0,0.0,52
1.0,1.0,59
0.5,0.5,59
0.0,0.0,59
0.5,0.5,1
1.0,1.0,0
1.0,1.0,0
1.0,1.0,8
0.5,0.5,23
1.0,1.0,7
1.0,1.0,14
1.0,1.0,7
1.0,1.0,7
1.0,1.0,7
0.5,0.5,7
0.0,0.0,7
1.0,1.0,0
1.0,1.0,0
0.5,0.5,1
0.0,0.0,54
0.0,0.0,1
0.0,0.0,1
1.0,1.0,0
0.0,0.0,0
1.0,1.0,0
0.0,0.0,1
1.0,1.0,29
1.0,1.0,29
1.0,1.0,29
0.0,0.0,52
1.0,1.0,16
1.0,1.0,16
0.5,0.5,14
0.0,0.0,54
0.0,0.0,1
0.5,0.5,0
0.5,0.5,0
0.0,0.0,0
0.0,0.0,0
1.0,1.0,0
1.0,1.0,0
1.0,1.0,1
1.0,0.5,2
0.0,0.0,1
0.0,0.0,0
0.5,0.5,0
0.5,0.5,0
0.5,0.5,1
0.5,0.5,3
1.0,1.0,0
1.0,1.0,0
0.5,0.5,1
0.0,0.0,1
1.0,1.0,16
1.0,1.0,16
0.5,0.5,14
0.0,0.0,54
0.0,0.0,1
1.0,1.0,0
1.0,1.0,0
0.5,0.5,1
0.0,0.0,1
1.0,1.0,22
1.0,1.0,22
0.5,0.5,22
0.0,0.0,64
0.5,0.5,3
1.0,1.0,0
1.0,1.0,0
0.5,0.5,1
0.0,0.0,1
1.0,1.0,16
1.0,1.0,16
0.5,0.5,14
0.0,0.0,54
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.5,0.5,0
0.5,0.5,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.5,0.5,0
0.5,0.5,0
0.0,0.0,0
1.0,1.0,16
1.0,1.0,16
0.5,0.5,14
0.0,0.0,54
0.0,0.0,0
1.0,1.0,0
1.0,1.0,0
0.5,0.5,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
1.0,1.0,7
0.5,0.5,7
0.0,0.0,7
0.0,0.0,0
0.0,0.0,0
1.0,1.0,0
1.0,1.0,0
1.0,1.0,0
1.0,0.5,19178
1.0,0.5,19178
0.5,0.5,0
1.0,1.0,0
1.0,1.0,1
1.0,1.0,1
1.0,1.0,341
1.0,1.0,341
1.0,1.0,341
1.0,1.0,786
0.5,0.5,785
0.0,0.0,803
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.5,0.5,0
0.5,0.5,1
0.0,0.0,1
1.0,1.0,22
1.0,1.0,22
0.5,0.5,22
0.0,0.0,64
0.5,0.5,3
0.0,0.0,0
0.0,0.0,0
0.5,0.5,0
1.0,1.0,0
0.0,0.0,29
1.0,1.0,16
1.0,1.0,16
0.5,0.5,14
0.0,0.0,54
1.0,1.0,59
0.5,0.5,59
0.0,0.0,59
0.5,0.5,0
0.0,0.0,9
1.0,1.0,0
1.0,1.0,0
0.5,0.5,1
0.0,0.0,1
1.0,1.0,16
1.0,1.0,16
0.5,0.5,14
0.0,0.0,54
0.0,0.0,1
0.0,0.0,1
1.0,0.5,0
0.0,0.0,8
1.0,1.0,7
1.0,1.0,7
1.0,1.0,7
1.0,1.0,7
1.0,1.0,462
1.0,1.0,211
1.0,1.0,211
1.0,1.0,211
1.0,1.0,445
1.0,1.0,445
1.0,1.0,445
1.0,1.0,786
0.5,0.5,785
0.0,0.0,803
1.0,1.0,7
1.0,1.0,7
1.0,1.0,7
1.0,1.0,7
1.0,1.0,7
1.0,1.0,7
1.0,0.5,19178
1.0,0.5,19178
1.0,1.0,44
0.0,0.0,28
0.0,0.0,0
0.0,0.0,0
1.0,1.0,0
0.5,0.5,1
0.5,0.5,3
0.0,0.0,2
0.0,0.0,0
0.0,0.0,0
0.0,0.0,44
0.0,0.0,23
0.0,0.0,0
0.5,0.5,0
0.0,0.0,0
0.0,0.0,0
0.5,0.5,9
0.0,0.0,9
1.0,1.0,0
1.0,1.0,7
1.0,1.0,8
1.0,1.0,8
1.0,1.0,0
1.0,1.0,0
0.5,0.5,0
0.0,0.0,0
1.0,1.0,59
0.5,0.5,59
0.0,0.0,59
1.0,1.0,14
0.5,0.5,17
0.0,0.0,15
0.0,0.0,80
0.5,0.5,3
1.0,1.0,0
0.5,0.5,0
0.5,0.5,0
0.0,0.0,9
1.0,1.0,0
1.0,1.0,0
0.5,0.5,0
0.0,0.0,0
1.0,1.0,59
0.5,0.5,59
0.0,0.0,59
0.0,0.0,0
0.0,0.0,7
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.5,0.5,9
0.0,0.0,9
1.0,1.0,0
1.0,1.0,0
1.0,1.0,0
1.0,1.0,0
1.0,0.5,19178
1.0,0.5,19178
1.0,0.5,19178
1.0,0.5,19178
0.0,0.0,33
0.0,0.0,0
1.0,1.0,0
0.0,0.0,0
0.5,0.5,9
0.0,0.0,9
1.0,1.0,0
1.0,1.0,0
1.0,1.0,0
1.0,1.0,0
1.0,0.5,19178
1.0,0.5,19178
1.0,0.5,19178
1.0,0.5,19178
1.0,0.5,19178
1.0,0.5,19178
1.0,0.5,19178
1.0,0.5,19178
1.0,0.5,19178
1.0,1.0,44
0.5,0.5,30
0.0,0.0,44
0.0,0.0,14
1.0,0.5,0
1.0,0.5,0
1.0,1.0,7
1.0,1.0,23
1.0,1.0,16
1.0,1.0,23
1.0,0.5,19178
1.0,0.5,19178
1.0,1.0,44
0.0,0.0,28
1.0,1.0,21
1.0,1.0,21
1.0,1.0,14
0.5,0.5,30
0.0,0.0,44
0.0,0.0,0
1.0,1.0,0
0.5,0.5,0
0.0,0.0,0
1.0,1.0,0
1.0,1.0,0
0.5,0.5,0
0.0,0.0,0
1.0,1.0,59
0.5,0.5,59
0.0,0.0,59
1.0,1.0,0
1.0,1.0,9
0.5,0.5,8
0.0,0.0,22
0.0,0.0,0
1.0,1.0,0
1.0,1.0,0
1.0,1.0,0
1.0,1.0,75
0.5,0.5,74
0.0,0.0,74
1.0,1.0,0
1.0,1.0,7
0.5,0.5,0
1.0,1.0,8
1.0,1.0,44
1.0,0.5,44
1.0,1.0,44
1.0,1.0,9
1.0,1.0,9
0.5,0.5,8
0.0,0.0,22
1.0,1.0,15
0.5,1.0,15
0.0,0.0,15
1.0,1.0,7
1.0,1.0,7
0.5,0.5,7
0.0,0.0,22
1.0,1.0,15
0.5,1.0,15
0.0,0.0,15
0.5,0.5,7
0.5,0.5,2
0.0,0.0,2
0.5,0.5,0
1.0,1.0,9
0.5,0.5,8
0.0,0.0,22
0.0,0.0,0
1.0,1.0,0
1.0,1.0,0
1.0,1.0,0
1.0,1.0,75
0.5,0.5,74
0.0,0.0,74
1.0,1.0,0
1.0,1.0,7
0.5,0.5,7
0.0,0.0,22
1.0,1.0,15
0.5,1.0,15
0.0,0.0,15
1.0,1.0,0
1.0,1.0,10
0.5,0.5,10
0.0,0.0,29
1.0,1.0,16
1.0,1.0,16
0.5,0.5,14
0.0,0.0,54
1.0,1.0,59
0.5,0.5,59
0.0,0.0,59
1.0,1.0,4
1.0,1.0,34
0.5,0.5,34
0.0,0.0,34
0.5,0.5,18
1.0,1.0,18
0.5,0.5,17
0.0,0.0,17
1.0,1.0,39
0.5,0.5,39
0.5,0.5,39
0.0,0.0,54
1.0,1.0,59
0.5,0.5,59
0.0,0.0,59
0.5,0.5,19
0.0,0.0,39
0.5,0.5,39
0.0,0.0,52
1.0,1.0,9
0.5,0.5,9
0.0,0.0,9
0.0,0.0,52
1.0,1.0,16
1.0,1.0,16
0.5,0.5,14
0.0,0.0,54
1.0,1.0,9
0.5,0.5,9
0.0,0.0,9
0.0,0.0,52
1.0,1.0,16
1.0,1.0,16
0.5,0.5,14
0.0,0.0,54
1.0,1.0,59
0.5,0.5,59
0.0,0.0,59
0.5,0.5,19
0.0,0.0,39
0.5,0.5,39
0.0,0.0,52
1.0,1.0,59
0.5,0.5,59
0.0,0.0,59
0.5,0.5,19
0.0,0.0,39
0.5,0.5,39
0.0,0.0,52
1.0,1.0,59
0.5,0.5,59
0.0,0.0,59
0.5,0.5,19
0.0,0.0,39
0.5,0.5,39
0.0,0.0,52
1.0,1.0,39
0.5,0.5,39
0.5,0.5,39
0.0,0.0,54
1.0,1.0,59
0.5,0.5,59
0.0,0.0,59
0.5,0.5,16
0.5,0.5,16
0.0,0.0,16
1.0,1.0,13
0.0,0.0,39
0.5,0.5,39
0.0,0.0,52
1.0,1.0,59
0.5,0.5,59
0.0,0.0,59
0.5,0.5,19
0.0,0.0,39
0.5,0.5,39
0.0,0.0,52
1.0,1.0,59
0.5,0.5,59
0.0,0.0,59
0.5,0.5,19
0.0,0.0,39
0.5,0.5,39
0.0,0.0,52
1.0,1.0,59
0.5,0.5,59
0.0,0.0,59
0.5,0.5,16
0.5,0.5,16
0.0,0.0,16
1.0,1.0,13
0.0,0.0,39
0.5,0.5,39
0.0,0.0,52
1.0,1.0,39
0.5,0.5,39
0.5,0.5,39
0.0,0.0,54
1.0,1.0,39
0.5,0.5,39
0.5,0.5,39
0.0,0.0,54
1.0,1.0,39
0.5,0.5,39
0.5,0.5,39
0.0,0.0,54
1.0,1.0,9
0.5,0.5,9
0.0,0.0,9
0.0,0.0,52
1.0,1.0,16
1.0,1.0,16
0.5,0.5,14
0.0,0.0,54
1.0,1.0,39
0.5,0.5,39
0.5,0.5,39
0.0,0.0,54
1.0,1.0,59
0.5,0.5,59
0.0,0.0,59
1.0,1.0,14
0.5,0.5,17
0.0,0.0,15
0.0,0.0,80
1.0,1.0,75
0.5,0.5,74
0.0,0.0,74
1.0,1.0,35
1.0,1.0,48
0.5,0.5,45
0.0,0.0,80
1.0,1.0,29
0.5,0.5,29
0.5,0.5,28
0.0,0.0,64
1.0,1.0,75
0.5,0.5,74
0.0,0.0,74
1.0,1.0,10
1.0,1.0,10
0.5,0.5,10
0.0,0.0,29
1.0,1.0,16
1.0,1.0,16
0.5,0.5,14
0.0,0.0,54
1.0,1.0,59
0.5,0.5,59
0.0,0.0,59
0.5,0.5,19
0.0,0.0,39
0.5,0.5,39
0.0,0.0,52
1.0,1.0,8
0.0,0.0,8
0.0,0.0,6
0.0,0.0,64
1.0,1.0,29
0.5,0.5,29
0.5,0.5,28
0.0,0.0,64
1.0,1.0,29
0.5,0.5,29
0.5,0.5,28
0.0,0.0,64
1.0,1.0,29
0.5,0.5,29
0.5,0.5,28
0.0,0.0,64
1.0,1.0,29
0.5,0.5,29
0.5,0.5,28
0.0,0.0,64
1.0,1.0,29
0.5,0.5,29
0.5,0.5,28
0.0,0.0,64
1.0,1.0,29
0.5,0.5,29
0.5,0.5,28
0.0,0.0,64
1.0,1.0,29
0.5,0.5,29
0.5,0.5,28
0.0,0.0,64
1.0,1.0,29
0.5,0.5,29
0.5,0.5,28
0.0,0.0,64
1.0,1.0,29
0.5,0.5,29
0.5,0.5,28
0.0,0.0,64
1.0,1.0,29
0.5,0.5,29
0.5,0.5,28
0.0,0.0,64
1.0,1.0,29
0.5,0.5,29
0.5,0.5,28
0.0,0.0,64
0.5,0.5,8
0.5,0.5,8
0.0,0.0,8
0.0,0.0,54
1.0,1.0,20
1.0,1.0,20
1.0,1.0,20
1.0,1.0,24
1.0,1.0,462
1.0,1.0,251
0.5,0.5,251
0.5,0.5,251
1.0,1.0,341
1.0,1.0,341
1.0,1.0,341
1.0,1.0,786
0.5,0.5,785
0.0,0.0,803
0.5,0.5,7
0.0,0.0,7
0.5,0.5,6
0.0,0.0,7
0.5,0.5,8
0.5,0.5,8
0.0,0.0,8
0.0,0.0,54
1.0,1.0,8
0.0,0.0,8
0.0,0.0,6
0.0,0.0,64
1.0,1.0,75
0.5,0.5,1
0.0,0.0,1
0.5,0.5,16
0.5,0.5,16
0.0,0.0,16
1.0,1.0,2
1.0,1.0,12
1.0,1.0,12
0.0,0.0,29
1.0,1.0,16
1.0,1.0,16
0.5,0.5,14
0.0,0.0,54
1.0,1.0,59
0.5,0.5,59
0.0,0.0,59
1.0,1.0,2
1.0,1.0,12
1.0,1.0,12
0.0,0.0,29
1.0,1.0,22
1.0,1.0,22
0.5,0.5,22
0.0,0.0,64
1.0,1.0,29
0.5,0.5,29
0.5,0.5,28
0.0,0.0,64
1.0,1.0,29
0.5,0.5,29
0.5,0.5,28
0.0,0.0,0
1.0,1.0,0
0.5,0.5,0
0.0,0.0,0
1.0,1.0,0
0.5,0.5,15
0.5,0.5,15
0.0,0.0,52
1.0,1.0,39
0.5,0.5,39
0.5,0.5,39
0.0,0.0,54
1.0,1.0,59
0.5,0.5,59
0.0,0.0,59
0.5,0.5,19
0.0,0.0,39
0.5,0.5,39
0.0,0.0,52
1.0,1.0,8
0.0,0.0,8
0.0,0.0,6
0.0,0.0,64
1.0,1.0,29
0.5,0.5,29
0.5,0.5,28
0.0,0.0,64
1.0,1.0,75
0.5,0.5,1
0.0,0.0,1
1.0,1.0,14
0.5,0.5,17
0.0,0.0,15
0.0,0.0,1
1.0,1.0,0
1.0,1.0,0
1.0,1.0,0
0.0,0.0,0
1.0,1.0,59
0.5,0.5,59
0.0,0.0,59
1.0,1.0,2
1.0,1.0,12
1.0,1.0,12
0.0,0.0,29
1.0,1.0,16
1.0,1.0,16
0.5,0.5,14
0.0,0.0,54
1.0,1.0,8
0.0,0.0,8
0.0,0.0,6
0.0,0.0,64
1.0,1.0,29
0.5,0.5,29
0.5,0.5,28
0.0,0.0,64
1.0,1.0,29
0.5,0.5,29
0.5,0.5,28
0.0,0.0,64
1.0,1.0,29
0.5,0.5,29
0.5,0.5,28
0.0,0.0,64
1.0,1.0,75
0.5,0.5,74
0.0,0.0,74
1.0,1.0,23
0.5,0.5,70
0.0,0.0,71
1.0,1.0,0
1.0,1.0,10
0.5,0.5,10
0.0,0.0,29
1.0,1.0,16
1.0,1.0,16
0.5,0.5,14
0.0,0.0,54
1.0,1.0,59
0.5,0.5,59
0.0,0.0,59
1.0,1.0,14
0.5,0.5,17
0.0,0.0,15
0.0,0.0,80
1.0,1.0,29
0.5,0.5,29
0.5,0.5,28
0.0,0.0,64
1.0,1.0,75
0.5,0.5,74
0.0,0.0,74
1.0,1.0,35
1.0,1.0,48
0.5,0.5,45
0.0,0.0,80
1.0,1.0,75
0.5,0.5,74
0.0,0.0,74
1.0,1.0,23
0.5,0.5,70
0.0,0.0,71
0.5,0.5,12
1.0,1.0,48
0.5,0.5,45
0.0,0.0,80
1.0,1.0,75
0.5,0.5,74
0.0,0.0,74
1.0,1.0,23
0.5,0.5,70
0.0,0.0,71
0.5,0.5,12
1.0,1.0,48
0.5,0.5,45
0.0,0.0,80
1.0,1.0,75
0.5,0.5,74
0.0,0.0,74
1.0,1.0,35
1.0,1.0,48
0.5,0.5,45
0.0,0.0,80
1.0,1.0,75
0.5,0.5,74
0.0,0.0,74
1.0,1.0,23
0.5,0.5,2
0.0,0.0,2
1.0,1.0,13
0.0,0.0,39
0.5,0.5,39
0.0,0.0,52
1.0,1.0,8
0.0,0.0,8
0.0,0.0,6
0.0,0.0,64
1.0,1.0,8
0.5,0.5,8
0.5,0.5,8
0.0,0.0,52
1.0,1.0,22
1.0,1.0,22
0.5,0.5,22
0.0,0.0,64
1.0,1.0,75
0.5,0.5,74
0.0,0.0,74
1.0,1.0,35
1.0,1.0,48
0.5,0.5,45
0.0,0.0,80
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
1.0,1.0,0
1.0,1.0,0
1.0,1.0,24
1.0,1.0,462
1.0,1.0,251
0.5,0.5,251
0.5,0.5,251
1.0,1.0,341
1.0,1.0,341
1.0,1.0,341
1.0,1.0,786
0.5,0.5,785
0.0,0.0,803
1.0,1.0,329
1.0,1.0,103
0.5,0.5,103
0.5,0.5,103
1.0,1.0,341
1.0,1.0,341
1.0,1.0,341
1.0,1.0,786
0.5,0.5,785
0.0,0.0,803
1.0,1.0,410
1.0,1.0,410
1.0,1.0,410
0.5,0.5,410
1.0,1.0,462
1.0,1.0,251
0.5,0.5,251
0.5,0.5,251
1.0,1.0,341
1.0,1.0,341
1.0,1.0,341
1.0,1.0,786
0.5,0.5,785
0.0,0.0,803
0.5,0.5,2
0.5,0.5,2
1.0,1.0,2
0.0,0.0,2
1.0,1.0,59
0.5,0.5,59
0.0,0.0,59
0.5,0.5,19
0.0,0.0,39
0.5,0.5,39
0.0,0.0,52
1.0,1.0,59
0.5,0.5,59
0.0,0.0,59
1.0,1.0,2
1.0,1.0,12
1.0,1.0,12
0.0,0.0,29
1.0,1.0,22
1.0,1.0,22
0.5,0.5,22
0.0,0.0,64
1.0,1.0,29
0.5,0.5,29
0.5,0.5,28
0.0,0.0,64
1.0,1.0,75
0.5,0.5,74
0.0,0.0,74
1.0,1.0,35
1.0,1.0,48
0.5,0.5,45
0.0,0.0,80
1.0,1.0,29
0.5,0.5,29
1.0,1.0,1
1.0,1.0,3
0.5,0.5,6
0.0,0.0,3
1.0,1.0,3
0.5,0.5,6
0.5,0.5,3
0.0,0.0,64
1.0,1.0,29
0.5,0.5,29
0.5,0.5,28
0.0,0.0,64
1.0,1.0,29
0.5,0.5,29
0.5,0.5,28
0.0,0.0,64
1.0,1.0,29
0.5,0.5,29
0.5,0.5,28
0.0,0.0,64
0.5,0.5,8
0.5,0.5,8
0.0,0.0,0
0.5,0.5,0
0.0,0.0,0
1.0,1.0,0
1.0,1.0,2
0.5,0.5,5
1.0,1.0,5
1.0,1.0,4
1.0,1.0,34
0.5,0.5,34
0.0,0.0,34
1.0,1.0,1
0.5,0.5,1
0.0,0.0,1
1.0,1.0,0
1.0,1.0,0
0.5,0.5,0
0.0,0.0,54
1.0,1.0,20
1.0,1.0,20
1.0,1.0,20
1.0,1.0,24
1.0,1.0,462
1.0,1.0,251
0.5,0.5,251
0.5,0.5,251
1.0,1.0,341
1.0,1.0,341
1.0,1.0,341
1.0,1.0,786
0.5,0.5,785
0.0,0.0,803
0.5,0.5,2
0.5,0.5,2
1.0,1.0,2
0.0,0.0,2
1.0,1.0,20
1.0,1.0,20
1.0,1.0,20
1.0,1.0,24
1.0,1.0,462
1.0,1.0,251
0.5,0.5,251
0.5,0.5,251
1.0,1.0,341
1.0,1.0,341
1.0,1.0,341
1.0,1.0,786
0.5,0.5,785
0.0,0.0,803
0.5,0.5,2
0.5,0.5,2
0.0,0.0,0
0.5,0.5,0
0.0,0.0,0
1.0,1.0,0
1.0,1.0,2
0.5,0.5,5
1.0,1.0,5
1.0,1.0,4
1.0,1.0,34
0.5,0.5,34
0.0,0.0,34
0.5,0.5,18
1.0,1.0,18
0.0,0.0,1
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.5,0.5,0
1.0,1.0,0
0.5,0.5,0
1.0,1.0,0
1.0,1.0,0
0.5,0.5,0
1.0,1.0,0
0.5,0.5,0
1.0,1.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.5,0.5,0
1.0,1.0,0
1.0,1.0,0
1.0,1.0,14
1.0,1.0,14
1.0,1.0,21
1.0,1.0,24
0.5,0.5,24
0.0,0.0,24
1.0,1.0,1
1.0,1.0,1
1.0,1.0,1
1.0,1.0,1
1.0,1.0,24
0.5,0.5,24
0.0,0.0,24
1.0,1.0,1
1.0,1.0,1
1.0,1.0,1
1.0,1.0,1
1.0,1.0,24
0.5,0.5,24
0.0,0.0,24
1.0,1.0,24
1.0,1.0,2
1.0,1.0,2
1.0,1.0,2
1.0,1.0,2
1.0,1.0,24
1.0,1.0,14
1.0,1.0,14
1.0,1.0,14
1.0,1.0,21
1.0,1.0,24
0.5,0.5,24
0.0,0.0,24
1.0,1.0,24
1.0,1.0,14
1.0,1.0,14
1.0,1.0,14
1.0,1.0,21
1.0,1.0,24
0.5,0.5,24
0.0,0.0,24
1.0,1.0,24
1.0,1.0,14
1.0,1.0,14
1.0,1.0,14
1.0,1.0,21
1.0,1.0,24
0.5,0.5,24
0.0,0.0,24
1.0,1.0,24
1.0,1.0,0
1.0,1.0,0
0.5,0.5,0
0.0,0.0,0
1.0,1.0,59
0.5,0.5,59
0.0,0.0,59
0.5,0.5,19
0.0,0.0,39
0.5,0.5,0
0.5,0.5,0
0.5,0.5,5
1.0,1.0,5
1.0,1.0,14
0.5,0.5,17
0.0,0.0,2
1.0,1.0,2
0.5,0.5,11
0.0,0.0,11
1.0,1.0,23
0.5,0.5,70
0.0,0.0,71
0.5,0.5,5
0.5,0.5,15
0.5,0.5,0
0.5,0.5,0
0.5,0.5,5
1.0,1.0,5
1.0,1.0,14
0.5,0.5,17
0.0,0.0,15
0.0,0.0,80
1.0,1.0,29
0.5,0.5,29
1.0,1.0,1
1.0,1.0,0
1.0,1.0,0
0.5,0.5,0
0.0,0.0,54
1.0,1.0,8
0.0,0.0,8
1.0,1.0,2
1.0,1.0,3
0.5,0.5,6
0.0,0.0,3
1.0,1.0,0
1.0,1.0,0
0.5,0.5,0
0.0,0.0,52
1.0,1.0,22
1.0,1.0,22
0.5,0.5,22
0.0,0.0,64
1.0,1.0,75
0.5,0.5,74
0.0,0.0,74
1.0,1.0,9
0.5,0.5,15
0.5,0.5,15
0.0,0.0,52
1.0,1.0,59
0.5,0.5,59
0.0,0.0,59
1.0,1.0,14
0.5,0.5,17
0.0,0.0,15
0.0,0.0,80
0.5,0.5,8
0.5,0.5,8
0.0,0.0,8
0.0,0.0,54
0.0,0.0,0
0.0,0.0,0
1.0,1.0,0
1.0,1.0,0
1.0,1.0,0
0.5,0.5,1
1.0,1.0,462
1.0,1.0,251
0.5,0.5,251
0.5,0.5,251
1.0,1.0,341
1.0,1.0,341
1.0,1.0,341
1.0,1.0,786
0.5,0.5,785
0.0,0.0,803
1.0,1.0,329
1.0,1.0,233
1.0,1.0,233
1.0,1.0,233
1.0,1.0,445
1.0,1.0,445
1.0,1.0,445
1.0,1.0,786
0.5,0.5,785
0.0,0.0,803
1.0,1.0,410
1.0,1.0,410
1.0,1.0,410
0.5,0.5,410
1.0,1.0,462
1.0,1.0,211
1.0,1.0,211
1.0,1.0,211
1.0,1.0,445
1.0,1.0,445
1.0,1.0,445
1.0,1.0,786
0.5,0.5,785
0.0,0.0,803
1.0,1.0,410
1.0,1.0,410
1.0,1.0,410
0.5,0.5,410
1.0,1.0,462
1.0,1.0,211
1.0,1.0,211
1.0,1.0,211
1.0,1.0,445
1.0,1.0,445
1.0,1.0,445
1.0,1.0,786
0.5,0.5,785
0.0,0.0,803
1.0,1.0,1
1.0,1.0,1
0.0,0.0,1
0.0,0.0,1
1.0,1.0,1
1.0,1.0,1
0.5,0.5,1
0.0,0.0,1
0.0,0.0,0
1.0,1.0,0
1.0,1.0,0
1.0,1.0,24
1.0,1.0,462
1.0,1.0,251
0.5,0.5,251
0.5,0.5,251
1.0,1.0,341
1.0,1.0,341
1.0,1.0,341
1.0,1.0,786
0.5,0.5,785
0.0,0.0,803
0.0,0.0,1
0.0,0.0,1
0.5,0.5,1
0.0,0.0,1
0.0,0.0,2
0.0,0.0,2
1.0,1.0,2
1.0,1.0,4
1.0,1.0,445
1.0,1.0,445
1.0,1.0,445
1.0,1.0,786
0.5,0.5,785
0.0,0.0,803
1.0,1.0,410
1.0,1.0,410
1.0,1.0,410
0.5,0.5,410
1.0,1.0,462
1.0,1.0,211
1.0,1.0,211
1.0,1.0,211
1.0,1.0,445
1.0,1.0,445
1.0,1.0,445
1.0,1.0,786
0.5,0.5,785
0.0,0.0,803
1.0,1.0,1
1.0,1.0,1
0.0,0.0,1
0.0,0.0,0
1.0,1.0,16
1.0,1.0,16
0.5,0.5,14
0.0,0.0,54
1.0,1.0,20
1.0,1.0,20
1.0,1.0,20
1.0,1.0,24
1.0,1.0,462
1.0,1.0,251
0.5,0.5,251
0.5,0.5,251
1.0,1.0,341
1.0,1.0,341
1.0,1.0,341
1.0,1.0,786
0.5,0.5,785
0.0,0.0,803
1.0,1.0,329
1.0,1.0,233
1.0,1.0,233
1.0,1.0,233
1.0,1.0,445
1.0,1.0,445
1.0,1.0,445
1.0,1.0,786
0.5,0.5,785
0.0,0.0,803
1.0,1.0,410
1.0,1.0,410
1.0,1.0,410
0.5,0.5,410
1.0,1.0,462
1.0,1.0,251
0.5,0.5,251
0.5,0.5,251
1.0,1.0,341
1.0,1.0,341
1.0,1.0,341
1.0,1.0,786
